timestamp;value
2021/10/10-02:01:03;0;
2021/10/10-02:02:03;0;
2021/10/10-02:03:03;0;
2021/10/10-02:04:04;0;
2021/10/10-02:05:04;0;
2021/10/10-02:06:04;0;
2021/10/10-02:07:04;0;
2021/10/10-02:08:04;0;
2021/10/10-02:09:04;0;
2021/10/10-02:10:04;0;
2021/10/10-02:11:04;0;
2021/10/10-02:12:04;0;
2021/10/10-02:13:04;0;
2021/10/10-02:14:04;0;
2021/10/10-02:15:04;0;
2021/10/10-02:16:05;0;
2021/10/10-02:17:05;0;
2021/10/10-02:18:05;0;
2021/10/10-02:19:05;0;
2021/10/10-02:20:05;0;
2021/10/10-02:21:05;0;
2021/10/10-02:22:05;0;
2021/10/10-02:23:05;0;
2021/10/10-02:24:05;0;
2021/10/10-02:25:05;0;
2021/10/10-02:26:05;0;
2021/10/10-02:27:05;0;
2021/10/10-02:28:06;0;
2021/10/10-02:29:06;0;
2021/10/10-02:30:06;0;
2021/10/10-02:31:06;0;
2021/10/10-02:32:06;0;
2021/10/10-02:33:06;0;
2021/10/10-02:34:06;0;
2021/10/10-02:35:06;0;
2021/10/10-02:36:06;0;
2021/10/10-02:37:06;0;
2021/10/10-02:38:06;0;
2021/10/10-02:39:06;0;
2021/10/10-02:40:07;0;
2021/10/10-02:41:07;0;
2021/10/10-02:42:07;0;
2021/10/10-02:43:07;0;
2021/10/10-02:44:07;0;
2021/10/10-02:45:07;0;
2021/10/10-02:46:07;0;
2021/10/10-02:47:07;0;
2021/10/10-02:48:07;0;
2021/10/10-02:49:07;0;
2021/10/10-02:50:07;0;
2021/10/10-02:51:07;0;
2021/10/10-02:52:08;0;
2021/10/10-02:53:08;0;
2021/10/10-02:54:08;0;
2021/10/10-02:55:08;0;
2021/10/10-02:56:08;0;
2021/10/10-02:57:08;0;
2021/10/10-02:58:08;0;
2021/10/10-02:59:08;0;
2021/10/10-03:00:08;0;
2021/10/10-03:01:08;0;
2021/10/10-03:02:08;0;
2021/10/10-03:03:09;0;
2021/10/10-03:04:09;0;
2021/10/10-03:05:09;0;
2021/10/10-03:06:09;0;
2021/10/10-03:07:09;0;
2021/10/10-03:08:09;0;
2021/10/10-03:09:09;0;
2021/10/10-03:10:09;0;
2021/10/10-03:11:09;0;
2021/10/10-03:12:09;0;
2021/10/10-03:13:09;0;
2021/10/10-03:14:09;0;
2021/10/10-03:15:10;0;
2021/10/10-03:16:10;0;
2021/10/10-03:17:10;0;
2021/10/10-03:18:10;0;
2021/10/10-03:19:10;0;
2021/10/10-03:20:10;0;
2021/10/10-03:21:10;0;
2021/10/10-03:22:10;0;
2021/10/10-03:23:10;0;
2021/10/10-03:24:10;0;
2021/10/10-03:25:10;0;
2021/10/10-03:26:10;0;
2021/10/10-03:27:11;0;
2021/10/10-03:28:11;0;
2021/10/10-03:29:11;0;
2021/10/10-03:30:11;0;
2021/10/10-03:31:11;0;
2021/10/10-03:32:11;0;
2021/10/10-03:33:11;0;
2021/10/10-03:34:11;0;
2021/10/10-03:35:11;0;
2021/10/10-03:36:11;0;
2021/10/10-03:37:11;0;
2021/10/10-03:38:11;0;
2021/10/10-03:39:12;0;
2021/10/10-03:40:12;0;
2021/10/10-03:41:12;0;
2021/10/10-03:42:12;0;
2021/10/10-03:43:12;0;
2021/10/10-03:44:12;0;
2021/10/10-03:45:12;0;
2021/10/10-03:46:12;0;
2021/10/10-03:47:12;0;
2021/10/10-03:48:12;0;
2021/10/10-03:49:12;0;
2021/10/10-03:50:12;0;
2021/10/10-03:51:13;0;
2021/10/10-03:52:13;0;
2021/10/10-03:53:13;0;
2021/10/10-03:54:13;0;
2021/10/10-03:55:13;0;
2021/10/10-03:56:13;0;
2021/10/10-03:57:13;0;
2021/10/10-03:58:13;0;
2021/10/10-03:59:13;0;
2021/10/10-04:00:13;0;
2021/10/10-04:01:13;0;
2021/10/10-04:02:14;0;
2021/10/10-04:03:14;0;
2021/10/10-04:04:14;0;
2021/10/10-04:05:14;0;
2021/10/10-04:06:14;0;
2021/10/10-04:07:14;0;
2021/10/10-04:08:14;0;
2021/10/10-04:09:14;0;
2021/10/10-04:10:14;0;
2021/10/10-04:11:14;0;
2021/10/10-04:12:14;0;
2021/10/10-04:13:14;0;
2021/10/10-04:14:15;0;
2021/10/10-04:15:15;0;
2021/10/10-04:16:15;0;
2021/10/10-04:17:15;0;
2021/10/10-04:18:15;0;
2021/10/10-04:19:15;0;
2021/10/10-04:20:15;0;
2021/10/10-04:21:15;0;
2021/10/10-04:22:15;0;
2021/10/10-04:23:15;0;
2021/10/10-04:24:15;0;
2021/10/10-04:25:15;0;
2021/10/10-04:26:16;0;
2021/10/10-04:27:16;0;
2021/10/10-04:28:16;0;
2021/10/10-04:29:16;0;
2021/10/10-04:30:16;0;
2021/10/10-04:31:16;0;
2021/10/10-04:32:16;11;
2021/10/10-04:33:16;0;
2021/10/10-04:34:16;0;
2021/10/10-04:35:16;0;
2021/10/10-04:36:16;3;
2021/10/10-04:37:16;0;
2021/10/10-04:38:17;0;
2021/10/10-04:39:17;0;
2021/10/10-04:40:17;0;
2021/10/10-04:41:17;3;
2021/10/10-04:42:17;0;
2021/10/10-04:43:17;5;
2021/10/10-04:44:17;0;
